Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304
Africa Eastern and Southern,2.5471E+11,2.75661E+11,2.40245E+11,2.38387E+11,2.41192E+11,2.70852E+11,2.69031E+11,2.84106E+11,2.67325E+11,2.63712E+11,2.85444E+11,2.60256E+11,2.6718E+11,3.54958E+11,4.41422E+11,5.15E+11,5.78716E+11,6.64194E+11,7.11902E+11,7.1688E+11,8.51883E+11,9.48279E+11,9.54417E+11,9.6334E+11,9.7969E+11,8.99256E+11,8.29738E+11,9.39959E+11,1.01252E+12,1.00619E+12,9.2888E+11
Afghanistan,,,,,,,,,,,,,3825701406,4520946849,5224896719,6203256497,6971758333,9747886105,10109296958,12416152648,15856668496,17805098367,19907329906,20146416876,20497128600,19134221745,18116572399,18753456507,18053222735,18799444415,19955929061
Africa Western and Central,1.21804E+11,1.27939E+11,1.22576E+11,1.27981E+11,1.33143E+11,2.05687E+11,2.61262E+11,2.74377E+11,2.9495E+11,1.37292E+11,1.40133E+11,1.47525E+11,1.76589E+11,2.04455E+11,2.53454E+11,3.10071E+11,3.96077E+11,4.65627E+11,5.67853E+11,5.08493E+11,5.98607E+11,6.82176E+11,7.3774E+11,8.34097E+11,8.94505E+11,7.69263E+11,6.92115E+11,6.8563E+11,7.68158E+11,8.23406E+11,7.86962E+11
Angola,11236275843,10401188707,8307826847,6084688936,4438321017,5538749260,6535434716,7675412601,6506381417,6152922942,9129594816,8936079251,15285592486,17812704627,23552057820,36970901024,52381025102,65266415707,88538664884,70307196474,83799473760,1.1179E+11,1.28053E+11,1.32339E+11,1.35967E+11,90496420626,52761617226,73690155047,79450688232,70897962713,48501561230
Albania,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205
Andorra,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1239840640,1429047882,1546912332,1755989354,2361636235,2895047587,3159826892,3456264325,3952395030,4085780203,3674190066,3449925694,3629133063,3188653259,3193513470,3271686452,2789882569,2896611879,3000160415,3218418632,3155150256,2891002460
Arab World,6.51242E+11,4.80694E+11,4.85489E+11,4.99353E+11,5.31898E+11,5.64856E+11,6.15179E+11,6.6261E+11,6.49486E+11,7.17795E+11,8.20587E+11,8.03239E+11,8.0833E+11,8.94226E+11,1.06322E+12,1.30498E+12,1.54625E+12,1.79875E+12,2.26406E+12,1.98125E+12,2.33091E+12,2.5439E+12,2.77736E+12,2.83793E+12,2.87994E+12,2.52255E+12,2.47908E+12,2.55132E+12,2.8459E+12,2.87165E+12,2.53551E+12
United Arab Emirates,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,3.00189E+11,3.60833E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11
Argentina,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11
Armenia,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583
American Samoa,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000
Antigua and Barbuda,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1281337037,1327107407,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296
Australia,3.11421E+11,3.25967E+11,3.25518E+11,3.12128E+11,3.22802E+11,3.68166E+11,4.01342E+11,4.35643E+11,3.99674E+11,3.89652E+11,4.16168E+11,3.79629E+11,3.95789E+11,4.67739E+11,6.1466E+11,6.95693E+11,7.48418E+11,8.55007E+11,1.05611E+12,9.28762E+11,1.14889E+12,1.3987E+12,1.54765E+12,1.5773E+12,1.4686E+12,1.35177E+12,1.20758E+12,1.32688E+12,1.42973E+12,1.39467E+12,1.33038E+12
Austria,1.66463E+11,1.73794E+11,1.95078E+11,1.9038E+11,2.03535E+11,2.41038E+11,2.37251E+11,2.1279E+11,2.1826E+11,2.17259E+11,1.9729E+11,1.97509E+11,2.14395E+11,2.62274E+11,3.01458E+11,3.16092E+11,3.3628E+11,3.89186E+11,4.32052E+11,4.01759E+11,3.92275E+11,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44596E+11,4.35049E+11
Azerbaijan,8884848485,5344000000,444658671.6,1570392598,1193141110,2417331193,3176507376,3962362387,4446368571,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000
Burundi,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261
Belgium,2.05332E+11,2.10511E+11,2.34782E+11,2.24722E+11,2.44884E+11,2.88026E+11,2.79201E+11,2.52708E+11,2.58528E+11,2.58246E+11,2.36792E+11,2.36746E+11,2.58384E+11,3.18083E+11,3.69215E+11,3.85715E+11,4.0826E+11,4.70922E+11,5.17328E+11,4.83254E+11,4.81421E+11,5.2333E+11,4.96153E+11,5.21791E+11,5.3539E+11,4.62336E+11,4.76063E+11,5.02765E+11,5.43299E+11,5.35866E+11,5.26264E+11
Benin,1959965330,1986437797,1695315306,2274558083,1598075944,2169627138,2361116449,2268301646,2455092686,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065852,12701655846,14262408080,14390708757,15686741894
Burkina Faso,3101300779,3135045584,3356692505,3199536465,1895290637,2379517975,2586550595,2447669102,2804902367,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813502,17725010531
Bangladesh,31598340778,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.49991E+11,1.72885E+11,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11,3.73902E+11
Bulgaria,20632090909,10943548387,10350515464,10832064942,9697416974,18991484420,12294964838,11316127379,15031055047,13627325461,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44432811756,54480684188,52023801230,50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66370132238,68881010246,70368758395
Bahrain,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713
"Bahamas, The",3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10395500000,10974800000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000
